No.,ファイル名,ジャンル,URL
1,越前海岸,漁業・漁場,http://info.pref.fukui.jp/opendata/fukuijizakana/1.jpg
2,若狭湾,漁業・漁場,http://info.pref.fukui.jp/opendata/fukuijizakana/2.jpg
3,小型漁船,漁業・漁場,http://info.pref.fukui.jp/opendata/fukuijizakana/3.jpg
4,定置網漁,漁業・漁場,http://info.pref.fukui.jp/opendata/fukuijizakana/4.jpg
5,底曳網漁,漁業・漁場,http://info.pref.fukui.jp/opendata/fukuijizakana/5.jpg
6,養殖生け簀の水揚げ,漁業・漁場,http://info.pref.fukui.jp/opendata/fukuijizakana/6.jpg
7,めぎす（塩茹で）,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/7.jpg
8,越前がれい（唐揚げ）,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/8.jpg
9,越前がに,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/9.jpg
10,越前がに（三国夕ゼリ）,漁業・漁場,http://info.pref.fukui.jp/opendata/fukuijizakana/10.jpg
11,越前がに（セリ）,漁業・漁場,http://info.pref.fukui.jp/opendata/fukuijizakana/11.jpg
12,越前がに（極）,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/12.jpg
13,越前がに,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/13.jpg
14,越前がに（水揚げ）,漁業・漁場,http://info.pref.fukui.jp/opendata/fukuijizakana/14.jpg
15,せいこがに,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/15.jpg
16,せいこがに（内子）,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/16.jpg
17,水がに（茹で）,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/17.jpg
18,水がに（生）,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/18.jpg
19,紅ずわい,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/19.jpg
20,紅すわい（水揚げ）,漁業・漁場,http://info.pref.fukui.jp/opendata/fukuijizakana/20.jpg
21,甘えび,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/21.jpg
22,底曳網漁,漁業・漁場,http://info.pref.fukui.jp/opendata/fukuijizakana/22.jpg
23,甘えび（水揚げ）,漁業・漁場,http://info.pref.fukui.jp/opendata/fukuijizakana/23.jpg
24,もちえび,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/24.jpg
25,越前えび,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/25.jpg
26,越前えびアップ,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/26.jpg
28,越前えび（刺身）,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/28.jpg
29,若狭ぐじ,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/29.jpg
31,若狭ぐじ（トロ箱）,漁業・漁場,http://info.pref.fukui.jp/opendata/fukuijizakana/31.jpg
32,若狭ぐじ（若狭焼き）,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/32.jpg
33,越前がれい,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/33.jpg
34,越前がれい（トロ箱）,漁業・漁場,http://info.pref.fukui.jp/opendata/fukuijizakana/34.jpg
35,越前がれい（煮付け）,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/35.jpg
36,越前がれい（刺身）,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/36.jpg
37,若狭ふぐ,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/37.jpg
38,若狭ふぐ（給餌）,漁業・漁場,http://info.pref.fukui.jp/opendata/fukuijizakana/38.jpg
39,若狭ふぐ（生簀）,漁業・漁場,http://info.pref.fukui.jp/opendata/fukuijizakana/39.jpg
40,若狭ふぐ（てっさ）,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/40.jpg
41,ぶり,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/41.jpg
42,美浜町,漁業・漁場,http://info.pref.fukui.jp/opendata/fukuijizakana/42.jpg
43,大敷網,漁業・漁場,http://info.pref.fukui.jp/opendata/fukuijizakana/43.jpg
44,あじ,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/44.jpg
45,さわら,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/45.jpg
46,まだい,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/46.jpg
47,連子鯛,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/47.jpg
48,はたはた,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/48.jpg
49,めぎす,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/49.jpg
50,サザエ,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/50.jpg
51,イワガキ,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/51.jpg
52,アワビ,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/52.jpg
53,岩牡蠣（水揚げ）,漁業・漁場,http://info.pref.fukui.jp/opendata/fukuijizakana/53.jpg
56,ふくいサーモン,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/56.jpg
57,ふくいサーモン刺身,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/57.jpg
58,マハタ,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/58.jpg
59,マハタ刺身,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/59.jpg
60,へしこ,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/60.jpg
61,へしこ（仕込み）,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/61.jpg
62,炙りへしこ,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/62.jpg
63,なれずし切り身,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/63.jpg
64,なれずし,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/64.jpg
65,なれずし（仕込み）,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/65.jpg
66,もみわかめ,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/66.jpg
67,わかめ漁,漁業・漁場,http://info.pref.fukui.jp/opendata/fukuijizakana/67.jpg
68,わかめ,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/68.jpg
69,焼き鯖,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/69.jpg
70,煮さば,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/70.jpg
71,ねりさば,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/71.jpg
75,ギバサ,魚介類,http://info.pref.fukui.jp/opendata/fukuijizakana/75.jpg
78,ほたるいかのアヒージョ,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/78.jpg
79,スルメイカの煮付け,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/79.jpg
80,トビウオの甘酢漬け,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/80.jpg
81,水魚（ミズベコ）のおつゆ,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/81.jpg
82,はたはたのしょうゆ漬け,料理,http://info.pref.fukui.jp/opendata/fukuijizakana/82.jpg
